date,Dokonalé dny,Io capitano,Sněžné bratrstvo,Učitelský salonek,Zóna zájmu
2024-01-28,17.0,20.0,11.0,18.0,1.02
2024-01-29,17.0,20.0,11.0,18.0,1.02
2024-01-30,17.333333333333332,20.666666666666668,10.666666666666666,18.666666666666668,1.0266666666666666
2024-01-31,18.0,22.0,10.0,20.0,1.04
2024-02-01,18.0,22.0,10.0,20.0,1.04
2024-02-02,18.0,22.0,10.0,20.0,1.04
2024-02-03,18.0,22.0,10.0,20.0,1.04
2024-02-04,18.0,22.0,10.0,20.0,1.04
2024-02-05,18.0,22.0,10.0,20.0,1.04
2024-02-06,18.0,22.0,10.0,20.0,1.04
2024-02-07,18.0,22.0,10.0,20.0,1.04
2024-02-08,18.0,22.0,10.0,20.0,1.04
2024-02-09,18.0,22.0,10.0,20.0,1.04
2024-02-10,18.0,22.0,10.0,20.0,1.04
2024-02-12,18.0,22.0,8.0,25.0,1.06
2024-02-13,18.0,22.0,8.0,25.0,1.06
2024-02-14,18.0,22.0,8.0,25.0,1.06
2024-02-15,18.0,22.0,8.0,25.0,1.06
2024-02-16,18.0,22.0,8.0,25.0,1.06
2024-02-17,18.0,22.0,8.0,25.0,1.06
2024-02-18,18.0,22.0,8.0,25.0,1.06
2024-02-19,17.0,20.0,13.0,25.0,1.03
2024-02-20,17.0,20.0,13.0,25.0,1.03
2024-02-21,17.0,20.0,13.0,25.0,1.03
2024-02-22,17.0,20.0,13.0,25.0,1.03
2024-02-23,17.0,20.0,13.0,25.0,1.03
2024-02-24,17.0,20.0,13.0,25.0,1.03
2024-02-25,17.0,20.0,11.0,25.0,1.05
2024-02-26,17.0,20.0,11.0,25.0,1.05
2024-02-27,17.0,20.0,11.0,25.0,1.05
2024-02-28,17.0,20.0,10.666666666666666,25.0,1.0566666666666666
2024-02-29,17.0,20.0,10.0,25.0,1.07
2024-03-01,17.0,20.0,10.0,25.0,1.07
2024-03-02,17.0,20.0,10.0,25.0,1.07
2024-03-03,17.0,20.0,10.0,25.0,1.07
2024-03-04,17.0,20.0,10.0,25.0,1.07
2024-03-05,17.0,20.0,10.0,25.0,1.07
2024-03-06,17.0,20.0,10.0,25.0,1.07
