date,Ano,Ne
2024-01-24,1.02,9.38
2024-01-25,1.02,9.38
2024-01-26,1.02,9.38
2024-01-27,1.02,9.38
2024-01-28,1.02,9.38
2024-01-29,1.02,9.38
2024-01-30,1.02,9.38
2024-01-31,1.02,9.38
2024-02-01,1.02,9.38
2024-02-02,1.02,9.38
2024-02-03,1.02,9.38
2024-02-04,1.02,9.38
2024-02-05,1.02,9.38
2024-02-06,1.02,9.38
2024-02-07,1.0133333333333334,11.126666666666667
2024-02-08,1.01,12.0
2024-02-09,1.01,14.0
2024-02-10,1.01,15.0
2024-02-11,1.01,15.0
2024-02-12,1.01,15.0
2024-02-13,1.01,15.0
2024-02-14,1.01,14.333333333333334
2024-02-15,1.0133333333333334,12.666666666666666
2024-02-16,1.02,12.0
2024-02-17,1.02,12.0
2024-02-18,1.02,12.0
2024-02-19,1.02,11.833333333333334
2024-02-20,1.02,11.5
2024-02-21,1.02,11.5
2024-02-22,1.02,11.5
2024-02-23,1.02,11.5
2024-02-24,1.02,11.5
2024-02-25,1.02,12.5
2024-02-26,1.02,12.5
2024-02-27,1.02,12.5
2024-02-28,1.02,12.5
2024-02-29,1.02,12.5
2024-03-01,1.02,12.5
2024-03-02,1.02,12.5
2024-03-04,1.0150000000000001,13.0
2024-03-05,1.01,13.5
2024-03-06,1.0,37.5
2024-03-07,1.0,50.0
