date,Alonso Xabi,Arteta Mikel,Conte Antoino,De Zerbi Roberto,Emery Unai,Enrique Luis,Flick Hans-Dieter,Guardiola Pep,Klopp Jürgen,Marquez Rafael,Mourinho Jose,Nagelsmann Julian,Rijkaard Frank,Valverde Ernesto
2024-01-31,17.0,7.0,35.0,8.0,25.0,10.0,5.0,15.0,9.0,4.5,12.0,20.0,11.0,40.0
2024-02-01,17.0,7.0,35.0,8.0,25.0,10.0,4.333333333333333,15.0,9.0,4.833333333333333,12.0,20.0,11.0,40.0
2024-02-02,17.0,7.0,35.0,8.0,25.0,10.0,4.0,15.0,9.0,5.0,12.0,20.0,11.0,40.0
2024-02-03,17.0,7.0,35.0,8.0,25.0,10.0,4.0,15.0,9.0,5.0,12.0,20.0,11.0,40.0
2024-02-04,17.0,7.0,35.0,8.0,25.0,10.0,4.0,15.0,9.0,5.0,12.0,20.0,11.0,40.0
2024-02-05,17.0,7.0,35.0,8.0,25.0,10.0,4.0,15.0,9.0,5.0,12.0,20.0,11.0,40.0
2024-02-06,17.0,7.0,35.0,8.0,25.0,10.0,4.0,15.0,9.0,5.0,12.0,20.0,11.0,40.0
2024-02-07,17.0,7.666666666666667,28.333333333333332,10.0,26.666666666666668,10.0,3.5,15.0,9.666666666666666,5.0,12.333333333333334,20.0,11.333333333333334,40.0
2024-02-08,17.0,9.0,25.0,14.0,30.0,10.0,2.5,15.0,11.0,5.0,13.0,20.0,12.0,40.0
2024-02-09,17.0,9.0,25.0,14.0,30.0,10.0,2.6666666666666665,15.0,9.333333333333334,5.0,13.0,20.0,12.0,40.0
2024-02-10,17.0,9.0,25.0,14.0,30.0,10.0,3.0,15.0,6.0,5.0,13.0,20.0,12.0,40.0
2024-02-11,17.0,9.0,25.0,14.0,30.0,10.0,3.0,15.0,6.0,5.0,13.0,20.0,12.0,40.0
2024-02-12,17.0,9.0,25.0,14.0,30.0,10.0,3.0,15.0,6.0,5.0,13.0,20.0,12.0,40.0
2024-02-13,17.0,9.0,25.0,14.0,30.0,10.0,3.0,15.0,6.0,5.0,13.0,20.0,12.0,40.0
2024-02-14,17.0,9.0,25.0,14.0,30.0,10.0,2.75,15.0,6.0,6.0,13.0,20.0,12.0,40.0
2024-02-15,17.0,9.0,25.0,14.0,30.0,10.0,2.5,15.0,6.0,7.0,13.0,20.0,12.0,40.0
2024-02-16,17.0,9.0,25.0,14.0,30.0,10.0,2.5,15.0,6.0,7.0,13.0,20.0,12.0,40.0
2024-02-17,17.0,9.0,25.0,13.0,30.0,10.0,2.5,15.0,6.0,7.0,13.0,20.0,12.0,40.0
2024-02-18,17.0,9.666666666666666,25.0,9.166666666666666,30.0,10.0,2.5,15.0,6.666666666666667,7.0,13.0,20.0,12.0,40.0
