date,Black Zoe,Hacsi Bára,Liška Stanislav,Slabá Katrin,Uvíra František
2024-01-11,2.7,3.2,2.0,2.5,6.0
2024-01-12,2.766666666666667,3.4,1.8666666666666665,2.6999999999999997,6.0
2024-01-13,2.7,3.0,1.8250000000000002,3.0,6.0
