date,De Niro Robert,Downey Robert jr.,Gosling Ryan,Ruffalo Mark,Sterling K. Brown
2024-01-28,15.0,1.07,8.0,17.0,20.0
2024-01-29,15.0,1.07,8.0,17.0,20.0
2024-01-30,15.666666666666666,1.07,7.833333333333333,18.0,21.666666666666668
2024-01-31,17.0,1.07,7.5,20.0,25.0
2024-02-01,17.0,1.07,7.5,20.0,25.0
2024-02-02,17.0,1.07,7.5,20.0,25.0
2024-02-03,17.0,1.07,7.5,20.0,25.0
2024-02-04,17.0,1.07,7.5,20.0,25.0
2024-02-05,17.0,1.07,7.5,20.0,25.0
2024-02-06,17.0,1.07,7.5,20.0,25.0
2024-02-07,17.0,1.07,7.5,20.0,25.0
2024-02-08,17.0,1.07,7.5,20.0,25.0
2024-02-09,17.0,1.07,7.5,20.0,25.0
2024-02-10,17.0,1.07,7.5,20.0,25.0
2024-02-12,17.0,1.07,7.5,20.0,25.0
2024-02-13,17.0,1.07,7.5,20.0,25.0
2024-02-14,17.0,1.07,7.5,20.0,25.0
2024-02-15,17.0,1.07,7.5,20.0,25.0
2024-02-16,17.0,1.07,7.5,20.0,25.0
2024-02-17,17.0,1.07,7.5,20.0,25.0
2024-02-18,17.0,1.07,7.5,20.0,25.0
2024-02-19,17.0,1.07,9.0,20.0,25.0
2024-02-20,17.0,1.07,9.0,20.0,25.0
2024-02-21,17.0,1.07,9.0,20.0,25.0
2024-02-22,17.0,1.07,9.0,20.0,25.0
2024-02-23,17.0,1.07,9.0,20.0,25.0
2024-02-24,17.0,1.07,9.0,20.0,25.0
2024-02-25,17.0,1.02,15.0,20.0,30.0
