date,Adamczyk Marek,Adamczyková Eva,Chýlková Ivana,Hradilek Vavřinec,Krajčo Richard,Kubelková Iva,Maršálek Josef,Mašková Tereza Anna,Pavlovičová Darija,Prachař David
2023-08-21,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-22,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-23,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-24,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-27,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-28,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-29,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-30,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-08-31,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-01,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-02,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-04,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-05,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-06,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-07,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-08,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-09,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-10,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-11,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-12,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-13,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-14,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-15,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-16,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
2023-09-17,7.0,5.0,9.0,12.0,3.5,7.0,20.0,8.0,12.0,20.0
