date,De Niro Robert,Downey Robert jr.,Elordi Jacob,Gosling Ryan,Mescal Paul,Sessa Dominic
2024-01-28,15.0,1.1,17.0,9.0,20.0,25.0
2024-01-29,15.0,1.1,17.0,9.0,20.0,25.0
2024-01-30,15.0,1.1,17.0,9.0,20.0,26.666666666666668
2024-01-31,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-01,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-02,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-03,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-04,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-05,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-06,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-07,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-08,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-09,15.0,1.1,17.0,9.0,20.0,30.0
2024-02-10,15.0,1.11,26.0,10.0,15.0,30.0
2024-02-12,17.0,1.1,35.0,12.0,11.0,30.0
2024-02-13,17.0,1.1,35.0,12.0,11.0,30.0
2024-02-14,17.0,1.1,35.0,12.0,11.0,30.0
2024-02-15,17.0,1.1,35.0,12.0,11.0,30.0
