date,Alonso Xabi,Amorim Ruben,Ancelotti Carlo,Benitez Rafael,Conte Antoino,De Zerbi Roberto,Emery Unai,Enrique Luis,Gerrard Steven,Guardiola Pep,Mourinho Jose,Moyes David,Nagelsmann Julian,Pochettino Mauricio,Potter Graham,Simeone Diego,Tuchel Thomas,Xavi Hernandez,Zidane Zinedine
2024-01-31,1.7,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-01,1.7,8.0,30.0,50.0,25.0,5.666666666666667,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-02,1.6666666666666667,8.0,30.0,50.0,25.0,5.333333333333333,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-03,1.6000000000000003,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-04,1.6000000000000003,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-05,1.6000000000000003,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-06,1.6000000000000003,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-07,1.6166666666666665,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-08,1.6499999999999997,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-09,1.6499999999999997,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-10,1.6499999999999997,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-11,1.6499999999999997,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-12,1.6499999999999997,8.0,30.0,50.0,25.0,6.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-13,1.6333333333333335,8.0,30.0,50.0,25.0,6.333333333333333,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-14,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-15,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-16,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-17,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-18,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-19,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-20,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-21,1.6000000000000003,8.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-22,1.6000000000000003,8.333333333333334,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-23,1.6000000000000003,9.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-24,1.6000000000000003,9.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-25,1.6000000000000003,9.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-26,1.6000000000000003,9.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-27,1.6000000000000003,9.0,30.0,50.0,25.0,7.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-28,1.6000000000000003,7.666666666666667,30.0,50.0,25.0,7.333333333333333,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-02-29,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-01,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-02,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-03,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-04,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-05,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-06,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-07,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-08,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-09,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-10,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-11,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-12,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-13,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-14,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-15,1.6,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-16,1.6,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-17,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-18,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-19,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-20,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-21,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
2024-03-22,1.6000000000000003,5.0,30.0,50.0,25.0,8.0,11.0,22.0,15.0,80.0,13.0,100.0,10.0,27.0,40.0,20.0,17.0,35.0,12.0
