date,Alonso Xabi,Conte A.,De Zerbi Roberto,Emery Unai,Enrique Luis,Flick Hans-Dieter,Guardiola Pep,Klopp Jürgen,Mourinho Jose,Nagelsmann Julian,Simeone Diego,Xavi Hernandez,Zidane Zinedine
2024-02-22,3.5,10.0,7.0,20.0,15.0,12.0,40.0,11.0,5.0,13.0,25.0,30.0,8.0
2024-02-23,3.5,10.0,7.0,20.0,15.0,12.0,40.0,11.0,5.0,13.0,25.0,30.0,8.0
2024-02-24,3.5,10.0,7.0,20.0,15.0,12.0,40.0,11.0,5.0,13.0,25.0,30.0,8.0
