date,Adamczyk Marek,Adamczyková Eva,Chýlková Ivana,Hradilek Vavřinec,Krajčo Richard,Kubelková Iva,Maršálek Josef,Mašková Tereza Anna,Pavlovičová Darija
2023-10-26,50.0,50.0,4.5,5.5,35.0,20.0,2.2,10.0,2.2
2023-10-27,50.0,50.0,4.5,5.5,35.0,20.0,2.2,10.0,2.2
2023-10-28,50.0,60.0,2.7,7.5,45.0,20.0,2.4,14.0,2.3
