date,Bayern,Chelsea,FC Barcelona,Manchester C.,Manchester Utd.,Newcastle,Real Madrid,Tým z MLS,Tým ze Saúdské Arábie
2023-05-24,60.0,40.0,1.5,30.0,70.0,25.0,50.0,8.0,2.4
2023-05-25,60.0,40.0,1.5,30.0,70.0,25.0,50.0,8.0,2.4
2023-05-26,60.0,40.0,1.5,30.0,70.0,25.0,50.0,8.0,2.4
