date,Bílek Michal,Hapal Pavel,Hašek Ivan,Holoubek David,Kozel Luboš,Lavička Vítězslav,Nedvěd Pavel,Papszun Marek,Poborský Karel,Priske Brian,Rada Petr,Straka František,Suchopárek Jan,Svědík Martin,Trpišovský Jindřich,Vrba Pavel,Zeman Zdeněk,Šilhavý Jaroslav
2023-10-18,12.0,42.333333333333336,2.5,20.0,8.0,7.0,40.0,15.0,150.0,60.0,50.0,200.0,30.0,10.0,6.0,100.0,300.0,3.5
2023-10-19,12.0,40.0,2.577777777777777,20.0,8.981481481481481,7.981481481481482,,15.0,,60.0,50.0,200.0,30.0,10.0,6.777777777777778,100.0,300.0,2.853703703703705
2023-10-20,12.0,40.0,2.891666666666667,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.464583333333333
2023-10-21,12.0,40.0,3.4464285714285716,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.4785714285714286
2023-10-22,12.0,40.0,3.5,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.5
2023-10-23,12.0,40.0,3.9361702127659575,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.325531914893616
2023-10-24,12.0,40.0,4.0,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.286046511627907
2023-10-25,12.0,40.0,4.269230769230769,20.0,9.0,8.0,,15.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,2.1461538461538465
2023-10-26,15.0,40.0,6.0,25.0,9.0,8.0,,20.0,,60.0,50.0,200.0,30.0,10.0,6.5,100.0,300.0,1.8
2023-10-27,15.0,40.0,6.0,25.0,9.0,8.0,,20.0,,60.0,50.0,200.0,30.0,10.0,6.5,100.0,300.0,1.8
2023-10-28,15.0,40.0,6.0,25.0,9.0,8.0,,20.0,,60.0,50.0,200.0,30.0,10.0,6.5,100.0,300.0,1.8
2023-10-29,15.0,40.0,6.25,25.0,9.0,8.0,,20.0,,60.0,50.0,200.0,30.0,10.0,6.75,100.0,300.0,1.75
2023-10-30,15.0,40.0,6.5,25.0,9.0,8.0,,20.0,,60.0,50.0,200.0,30.0,10.0,7.0,100.0,300.0,1.7
