date,Bača Juraj,Dubayová Petra,Gregorová Hana,Jablonský Jakub,Jakab Rakovská Anna,Kmeťová Martina,Kocianová Michaela,Loj Juraj,Novák Martin,Tribula Ján,Ďurica Ján
2024-03-04,8.0,8.0,20.0,1.65,3.5,13.0,20.0,4.0,25.0,45.0,30.0
2024-03-05,11.666666666666666,7.0,28.333333333333332,1.6499999999999997,3.5,19.333333333333332,30.0,5.0,43.333333333333336,63.333333333333336,30.0
2024-03-06,13.0,6.5,30.0,1.6499999999999997,3.5,20.0,35.0,5.5,50.0,70.0,30.0
2024-03-07,13.0,6.5,30.0,1.6499999999999997,3.5,20.0,35.0,5.5,50.0,70.0,30.0
2024-03-08,13.0,6.5,30.0,1.6499999999999997,3.5,20.0,35.0,5.5,50.0,70.0,30.0
2024-03-09,13.0,6.5,31.666666666666668,1.6499999999999997,3.5,20.0,38.333333333333336,5.5,56.666666666666664,78.33333333333333,30.0
2024-03-10,15.0,5.5,45.0,1.5,3.65,22.0,50.0,6.0,80.0,111.0,30.0
2024-03-11,20.0,5.75,67.5,1.4,4.0,27.5,,5.0,112.5,112.5,42.5
2024-03-12,20.0,6.0,75.0,1.3999999999999997,4.0,33.333333333333336,,4.333333333333333,125.0,125.0,48.333333333333336
2024-03-13,20.0,6.666666666666667,78.33333333333333,1.3533333333333335,4.5,38.333333333333336,,3.3333333333333335,130.33333333333334,130.33333333333334,56.666666666666664
2024-03-14,20.0,7.0,80.0,1.33,4.5,40.0,,3.5,133.0,133.0,60.0
