date,Hes Oskar,Hádek Kryštof,Nedbal Jan,Prachař David,Roden Karel
2024-02-04,8.0,4.0,9.0,7.0,1.3
2024-02-05,8.0,4.0,9.0,7.0,1.3
2024-02-06,8.0,4.166666666666667,9.0,7.0,1.2833333333333334
2024-02-07,8.0,4.5,9.0,7.0,1.25
2024-02-08,8.0,4.5,9.0,7.0,1.25
2024-02-09,8.0,4.666666666666667,9.0,7.0,1.2333333333333334
2024-02-10,8.0,5.0,9.0,7.0,1.2
2024-02-11,8.0,5.0,9.0,7.0,1.2
2024-02-12,8.0,5.0,9.0,7.0,1.2
2024-02-13,8.666666666666666,5.0,9.666666666666666,8.0,1.1833333333333333
2024-02-14,9.0,5.0,10.0,10.0,1.15
