date,Adamczyk Marek,Adamczyková Eva,Chýlková Ivana,Hradilek Vavřinec,Krajčo Richard,Kubelková Iva,Maršálek Josef,Mašková Tereza Anna,Pavlovičová Darija
2023-10-27,20.0,30.0,3.0,4.0,15.0,30.0,1.7,15.0,6.0
2023-10-28,25.0,35.0,3.3,4.0,18.0,35.0,1.6,18.0,7.0
2023-10-29,25.0,35.0,3.3,4.0,18.0,35.0,1.6,18.0,7.0
