date,Cooper Bradley,Domingo Colman,Giamatti Paul,Keoghan Barry,Murphy Cillian,Yoo Teo
2024-01-28,12.0,50.0,4.0,30.0,1.17,80.0
2024-01-29,12.0,50.0,3.6,30.0,1.2233333333333334,80.0
2024-01-30,12.0,50.0,3.4,30.0,1.2666666666666666,80.0
2024-01-31,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-01,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-02,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-03,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-04,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-05,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-06,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-07,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-08,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-09,12.0,50.0,3.4,30.0,1.3,80.0
2024-02-10,12.0,55.0,3.4,30.0,1.3,90.0
2024-02-12,15.0,80.0,4.0,30.0,1.2,100.0
2024-02-13,15.0,80.0,3.5,30.0,1.2,100.0
2024-02-14,15.0,80.0,3.5,30.0,1.2,100.0
2024-02-15,15.0,80.0,3.5,30.0,1.2,100.0
2024-02-16,15.0,80.0,3.5,30.0,1.2,100.0
