date,Ano,Ne
2024-01-09,4.1866666666666665,4.528333333333333
2024-01-10,4.52,4.52
2024-01-11,4.5233333333333325,4.353333333333333
2024-01-12,4.53,4.02
2024-01-13,8.0,1.04
2024-01-14,8.0,1.04
2024-01-15,8.0,1.04
2024-01-16,8.0,1.04
2024-01-17,8.666666666666666,1.0333333333333334
2024-01-18,9.0,1.03
2024-01-19,9.0,1.03
2024-01-20,9.0,1.03
2024-01-21,9.0,1.03
2024-01-22,9.0,1.03
2024-01-23,9.0,1.03
2024-01-24,9.0,1.03
2024-01-25,9.0,1.03
2024-01-26,9.0,1.03
2024-01-27,9.0,1.03
2024-01-28,9.0,1.03
2024-01-29,9.0,1.03
2024-01-30,9.0,1.03
2024-01-31,9.0,1.03
2024-02-01,9.0,1.03
2024-02-02,9.0,1.03
2024-02-03,9.0,1.03
2024-02-04,9.0,1.03
2024-02-05,9.0,1.03
2024-02-06,9.0,1.03
2024-02-07,9.0,1.03
2024-02-08,9.0,1.03
2024-02-09,9.0,1.03
2024-02-10,9.0,1.03
2024-02-11,9.0,1.03
2024-02-12,8.5,1.0366666666666668
2024-02-13,7.5,1.05
2024-02-14,7.5,1.05
2024-02-15,7.833333333333333,1.0433333333333332
2024-02-16,8.0,1.04
2024-02-17,8.0,1.04
2024-02-18,8.0,1.04
2024-02-19,8.0,1.04
2024-02-20,8.0,1.04
2024-02-21,8.0,1.04
2024-02-22,8.0,1.04
2024-02-23,8.0,1.04
2024-02-24,8.0,1.04
2024-02-25,8.0,1.04
2024-02-26,8.0,1.04
2024-02-27,8.0,1.04
2024-02-28,8.0,1.04
2024-02-29,8.0,1.04
2024-03-01,8.0,1.04
2024-03-02,8.0,1.04
2024-03-03,8.0,1.04
2024-03-04,8.0,1.04
2024-03-05,8.0,1.04
2024-03-06,8.0,1.04
2024-03-07,8.0,1.04
2024-03-08,8.0,1.04
2024-03-09,8.0,1.04
2024-03-10,8.0,1.04
2024-03-11,8.0,1.04
2024-03-12,8.0,1.04
2024-03-13,8.0,1.04
2024-03-14,8.0,1.04
2024-03-15,8.0,1.04
2024-03-16,8.0,1.04
2024-03-17,8.0,1.0399999999999998
2024-03-18,8.0,1.0399999999999998
2024-03-19,8.0,1.0399999999999998
2024-03-20,8.0,1.0399999999999998
2024-03-21,8.0,1.0399999999999998
2024-03-22,8.0,1.0399999999999996
