date,Blunt Emily,Brooks Danielle,Foy Claire,Hüller Sandra,Pike Rosamund,Randolph Da'Vine Joy
2024-01-28,9.0,17.0,20.0,15.0,25.0,1.1
2024-01-29,9.0,17.0,20.0,15.0,25.0,1.1
2024-01-30,9.0,18.0,20.666666666666668,15.0,25.0,1.1
2024-01-31,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-01,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-02,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-03,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-04,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-05,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-06,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-07,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-08,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-09,9.0,20.0,22.0,15.0,25.0,1.1
2024-02-10,8.5,27.5,23.5,15.0,27.5,1.1
2024-02-12,8.0,35.0,25.0,15.0,30.0,1.1
