date,Bratři,Němá tajemství,Přišla v noci,Tancuj Matyldo,Úsvit
2024-02-04,2.75,9.5,1.95,5.0,4.25
2024-02-05,2.3666666666666667,10.666666666666666,2.0,5.333333333333333,4.666666666666667
2024-02-06,1.9333333333333333,12.0,2.266666666666667,5.666666666666667,5.0
2024-02-07,1.7333333333333334,12.0,2.433333333333333,6.0,5.333333333333333
2024-02-08,1.6000000000000003,12.0,2.5,7.0,6.0
2024-02-09,1.5833333333333333,12.0,2.533333333333333,7.0,6.0
2024-02-10,1.55,12.0,2.6,7.0,6.0
2024-02-11,1.55,12.0,2.6,7.0,6.0
2024-02-12,1.55,12.0,2.6,7.0,6.0
2024-02-13,1.5166666666666666,14.0,2.8666666666666667,7.0,6.333333333333333
2024-02-14,1.5,15.0,3.0,7.0,6.5
2024-02-15,1.5,15.0,3.0,7.0,6.5
2024-02-16,1.5,15.0,3.0,7.0,6.5
2024-02-17,1.5,15.0,3.0,7.0,6.5
2024-02-18,1.5,15.0,3.0,7.0,6.5
2024-02-19,1.5,15.0,3.0,7.0,6.5
2024-02-20,1.5,15.0,3.0,7.0,6.5
2024-02-21,1.5,15.0,3.0,7.0,6.5
2024-02-22,1.4666666666666668,15.0,3.1,7.333333333333333,6.666666666666667
2024-02-23,1.3999999999999997,15.0,3.2999999999999994,8.0,7.0
2024-02-24,1.3999999999999997,15.0,3.2999999999999994,8.0,7.0
2024-02-25,1.3999999999999997,15.0,3.4333333333333336,8.0,7.0
2024-02-26,1.3999999999999997,15.0,3.5,8.0,7.0
2024-02-27,1.3999999999999997,15.0,3.5,8.0,7.0
