date,Cooper Bradley,Glazer Jonathan,Haigh Andrew,Nolan Christopher,Payne Alexander,Triet Justine
2024-01-28,17.0,13.0,20.0,1.08,22.0,11.0
2024-01-29,17.0,13.0,20.0,1.08,22.0,11.0
2024-01-30,18.0,13.666666666666666,20.333333333333332,1.08,22.0,11.333333333333334
2024-01-31,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-01,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-02,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-03,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-04,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-05,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-06,20.0,15.0,21.0,1.08,22.0,12.0
2024-02-07,20.0,15.0,21.0,1.08,22.0,12.0
