date,Aaltola Mika,Andersson Li,Essayah Sari,Haavisto Pekka,Halla-aho Jussi,Harkimo Hjallis,Rehn Olli,Stubb Alexander,Urpilainen Jutta
2023-12-30,65.0,40.0,100.0,6.0,25.0,100.0,20.0,1.11,40.0
2023-12-31,65.0,40.0,100.0,6.0,25.0,100.0,20.0,1.11,40.0
2024-01-01,65.0,40.0,100.0,6.0,25.0,100.0,20.0,1.11,40.0
2024-01-02,68.33333333333333,43.333333333333336,108.33333333333333,7.0,26.666666666666668,108.33333333333333,23.333333333333332,1.09,43.333333333333336
2024-01-03,81.66666666666667,56.666666666666664,135.0,9.666666666666666,33.333333333333336,135.0,33.333333333333336,1.0433333333333332,56.666666666666664
2024-01-04,85.0,60.0,140.0,9.333333333333334,38.333333333333336,140.0,38.333333333333336,1.04,60.0
2024-01-05,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-06,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-07,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-08,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-09,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-10,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-11,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-12,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-13,85.0,60.0,140.0,9.0,40.0,140.0,40.0,1.04,60.0
2024-01-14,95.0,70.0,163.33333333333334,9.333333333333334,43.333333333333336,163.33333333333334,43.333333333333336,1.04,70.0
2024-01-15,103.33333333333333,78.33333333333333,183.33333333333334,9.666666666666666,46.666666666666664,183.33333333333334,46.666666666666664,1.0366666666666668,78.33333333333333
2024-01-16,116.66666666666667,91.66666666666667,233.33333333333334,10.0,53.333333333333336,233.33333333333334,53.333333333333336,1.0233333333333332,91.66666666666667
2024-01-17,120.0,95.0,250.0,10.0,55.0,250.0,55.0,1.02,95.0
2024-01-18,120.0,95.0,250.0,10.0,55.0,250.0,55.0,1.02,95.0
2024-01-19,120.0,95.0,250.0,10.0,55.0,250.0,55.0,1.02,95.0
2024-01-20,120.0,95.0,250.0,10.0,55.0,250.0,55.0,1.02,95.0
2024-01-21,120.0,95.0,250.0,10.0,55.0,250.0,55.0,1.02,95.0
2024-01-22,163.33333333333334,113.33333333333333,333.3333333333333,9.666666666666666,51.666666666666664,333.3333333333333,56.666666666666664,1.0233333333333334,113.33333333333333
2024-01-23,400.0,233.33333333333334,750.0,7.666666666666667,38.333333333333336,750.0,76.66666666666667,1.0533333333333335,233.33333333333334
2024-01-24,550.0,300.0,1000.0,7.5,35.0,1000.0,90.0,1.06,300.0
2024-01-25,583.3333333333334,333.3333333333333,1066.6666666666667,7.5,41.666666666666664,1066.6666666666667,90.0,1.06,333.3333333333333
2024-01-26,716.6666666666666,416.6666666666667,1233.3333333333333,8.0,50.0,1233.3333333333333,130.0,1.05,416.6666666666667
2024-01-27,816.6666666666666,516.6666666666666,1366.6666666666667,8.166666666666666,51.666666666666664,1366.6666666666667,158.33333333333334,1.0466666666666666,516.6666666666666
