date,Anatomie pádu,Chudáčci,Oppenheimer,Zabijáci rozkvetlého měsíce,Zimní prázdniny
2024-01-28,10.0,11.0,1.1,12.0,15.0
2024-01-29,10.666666666666666,10.333333333333334,1.1,12.0,15.0
2024-01-30,11.333333333333334,10.333333333333334,1.1,12.333333333333334,15.666666666666666
2024-01-31,12.0,11.0,1.1,13.0,17.0
2024-02-01,12.0,11.0,1.1,13.0,17.0
2024-02-02,12.0,11.0,1.1,13.0,17.0
2024-02-03,12.0,11.0,1.1,13.0,17.0
2024-02-04,12.0,11.0,1.1,13.0,17.0
2024-02-05,12.0,11.0,1.1,13.0,17.0
2024-02-06,12.0,11.0,1.1,13.0,17.0
2024-02-07,12.0,11.0,1.1,13.0,17.0
2024-02-08,12.0,11.0,1.1,13.0,17.0
2024-02-09,12.0,11.0,1.1,13.0,17.0
2024-02-10,12.0,11.0,1.1,13.0,17.0
