date,Ano,Ne
2024-03-04,4.0,1.19
2024-03-05,4.0,1.19
2024-03-06,3.6999999999999997,1.2266666666666666
2024-03-07,3.6666666666666665,1.23
2024-03-08,4.0,1.19
2024-03-09,4.0,1.19
2024-03-10,4.0,1.19
2024-03-11,4.0,1.19
2024-03-12,4.0,1.19
2024-03-13,4.0,1.19
2024-03-14,4.0,1.19
2024-03-15,4.0,1.19
2024-03-16,4.0,1.19
2024-03-17,4.0,1.1899999999999997
2024-03-18,4.0,1.1899999999999997
2024-03-19,4.0,1.1899999999999997
2024-03-20,4.0,1.1899999999999997
2024-03-21,4.0,1.1899999999999997
2024-03-22,4.0,1.1899999999999995
2024-03-23,4.0,1.1899999999999995
2024-03-24,4.0,1.1899999999999995
2024-03-25,4.0,1.1899999999999995
