date,Cooper Bradley,Domingo Colman,Giamatti Paul,Murphy Cillian,Wright Jeffrey
2024-01-28,10.0,40.0,2.75,1.4,30.0
2024-01-29,10.666666666666666,40.0,2.516666666666667,1.4666666666666668,30.0
2024-01-30,11.333333333333334,43.333333333333336,2.4,1.5,33.333333333333336
2024-01-31,13.0,50.0,2.433333333333333,1.4666666666666668,41.666666666666664
2024-02-01,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-02,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-03,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-04,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-05,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-06,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-07,15.0,50.0,2.5,1.3999999999999997,45.0
2024-02-08,15.0,50.0,2.5,1.3999999999999997,45.0
