date,Hou Yu-ih,Ko Wen-je,Lai Ching-te
2023-12-30,4.4,3.8875,1.315
2023-12-31,5.333333333333333,4.0,1.2566666666666666
2024-01-01,5.5,4.0,1.25
2024-01-02,5.6000000000000005,4.133333333333334,1.2266666666666666
2024-01-03,5.6000000000000005,5.133333333333334,1.1866666666666665
2024-01-04,5.5,5.5,1.18
2024-01-05,5.5,5.5,1.18
2024-01-06,5.833333333333333,5.3,1.18
2024-01-07,6.2,4.933333333333334,1.18
2024-01-08,6.766666666666667,4.066666666666666,1.2066666666666668
2024-01-09,6.833333333333333,3.4333333333333336,1.2633333333333334
2024-01-10,6.5,3.4,1.3
2024-01-11,6.166666666666667,3.8000000000000003,1.2666666666666666
2024-01-12,5.5,4.75,1.24
