date,Glazer Jonathan,Lanthimos Yorgos,Nolan Christopher,Scorsese Martin,Triet Justine
2024-01-28,25.0,15.0,1.02,11.0,17.0
2024-01-29,25.0,15.0,1.02,11.0,17.0
2024-01-30,30.0,14.0,1.02,12.333333333333334,18.0
2024-01-31,40.0,12.0,1.02,15.0,20.0
2024-02-01,40.0,12.0,1.02,15.0,20.0
2024-02-02,40.0,12.0,1.02,15.0,20.0
2024-02-03,40.0,12.0,1.02,15.0,20.0
2024-02-04,40.0,11.0,1.03,15.0,20.0
2024-02-05,40.0,10.0,1.04,15.0,20.0
2024-02-06,40.0,10.0,1.04,15.0,20.0
2024-02-07,40.0,10.0,1.04,15.0,20.0
2024-02-08,40.0,10.0,1.04,15.0,20.0
2024-02-09,40.0,10.0,1.04,15.0,20.0
2024-02-10,40.0,10.0,1.04,15.0,20.0
2024-02-13,40.0,10.0,1.05,13.0,20.0
2024-02-14,40.0,10.0,1.05,13.0,20.0
2024-02-15,40.0,10.0,1.05,13.0,20.0
2024-02-16,40.0,10.0,1.05,13.0,20.0
2024-02-17,40.0,10.0,1.05,13.0,20.0
