date,Arsenal,Bayern,Chelsea,FC Barcelona,Liverpool,Manchester C.,Manchester U.,Newcastle,Paris SG,Real Madrid
2023-06-14,50.0,32.5,17.5,60.0,40.0,27.5,10.5,22.5,1.875,2.35
2023-06-15,50.0,35.0,20.0,60.0,40.0,30.0,12.0,25.0,1.7,2.2
2023-06-17,50.0,35.0,20.0,40.0,60.0,30.0,15.0,25.0,1.45,2.7
2023-06-19,50.0,35.0,20.0,40.0,60.0,30.0,6.0,25.0,1.3,4.5
2023-06-21,50.0,35.0,20.0,40.0,60.0,30.0,7.0,25.0,1.6,2.7
2023-06-22,50.0,35.0,20.0,40.0,60.0,30.0,8.0,25.0,1.7,2.3
2023-06-23,50.0,35.0,20.0,40.0,60.0,30.0,12.0,25.0,2.2,1.65
