date,id,name,odd,event_name,selection_id
2026-09-04T23:34:54,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-04T23:34:54,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-04T23:34:54,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-04T17:16:56,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-04T17:16:56,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-04T17:16:56,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-04T10:13:21,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-04T10:13:21,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-04T10:13:21,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T23:42:41,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T23:42:41,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-03T23:42:41,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T17:23:56,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T17:23:56,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-03T17:23:56,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T10:26:05,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-03T10:26:05,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-03T10:26:05,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-02T23:42:48,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-02T23:42:48,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
2026-09-02T23:42:48,2695701371,Suja Miroslav,8.0,Vítěz,25-WINNER_NWAY-a
2026-09-02T17:31:07,2695701369,Malatinec Roman,10.0,Vítěz,25-WINNER_NWAY-a
2026-09-02T17:31:07,2695701370,Lunter Ondrej,1.05,Vítěz,25-WINNER_NWAY-a
