date,title,odds,date_bet,identifier
2017-10-25T18:02:03.586432,B.Bystrica – vyhraje J.Lunter,1.45,04.11.2017 08:00,1
2017-10-25T18:02:03.586432,B.Bystrica –nevyhraje J.Lunter,2.45,04.11.2017 08:00,3
2017-10-25T18:02:03.586432,Bratislava – vyhraje M.Ftáčnik,1.65,04.11.2017 08:00,4
2017-10-25T18:02:03.586432,Bratislava–nevyhraje M.Ftáčnik,2.05,04.11.2017 08:00,5
2017-10-25T18:02:03.586432,Košice – vyhraje R.Raši,1.01,04.11.2017 08:00,6
2017-10-25T18:02:03.586432,Košice – nevyhraje R.Raši,10.00,04.11.2017 08:00,7
2017-10-25T18:02:03.586432,Nitra – vyhraje M.Belica,1.08,04.11.2017 08:00,8
2017-10-25T18:02:03.586432,Nitra – nevyhraje M.Belica,6.00,04.11.2017 08:00,9
2017-10-25T18:02:03.586432,Prešov – vyhraje P.Chudík,1.01,04.11.2017 08:00,11
2017-10-25T18:02:03.586432,Prešov – nevyhraje P.Chudík,10.00,04.11.2017 08:00,12
2017-10-25T18:02:03.586432,Trenčín – vyhraje J.Baška,1.01,04.11.2017 08:00,13
2017-10-25T18:02:03.586432,Trenčín – nevyhraje J.Baška,10.00,04.11.2017 08:00,14
2017-10-25T18:02:03.586432,Trnava – vyhraje T.Mikuš,1.35,04.11.2017 08:00,15
2017-10-25T18:02:03.586432,Trnava – nevyhraje T.Mikuš,2.80,04.11.2017 08:00,16
2017-10-25T18:02:03.586432,Žilina – vyhraje J.Blanár,1.65,04.11.2017 08:00,17
2017-10-25T18:02:03.586432,Žilina – nevyhraje J.Blanár,2.05,04.11.2017 08:00,18
2017-10-26T06:02:03.024346,B.Bystrica – vyhraje J.Lunter,1.18,04.11.2017 08:00,1
2017-10-26T06:02:03.024346,B.Bystrica –nevyhraje J.Lunter,4.00,04.11.2017 08:00,3
2017-10-26T06:02:03.024346,Bratislava – vyhraje M.Ftáčnik,1.65,04.11.2017 08:00,4
2017-10-26T06:02:03.024346,Bratislava–nevyhraje M.Ftáčnik,2.05,04.11.2017 08:00,5
2017-10-26T06:02:03.024346,Košice – vyhraje R.Raši,1.01,04.11.2017 08:00,6
2017-10-26T06:02:03.024346,Košice – nevyhraje R.Raši,10.00,04.11.2017 08:00,7
2017-10-26T06:02:03.024346,Nitra – vyhraje M.Belica,1.08,04.11.2017 08:00,8
2017-10-26T06:02:03.024346,Nitra – nevyhraje M.Belica,6.00,04.11.2017 08:00,9
2017-10-26T06:02:03.024346,Prešov – vyhraje P.Chudík,1.01,04.11.2017 08:00,11
2017-10-26T06:02:03.024346,Prešov – nevyhraje P.Chudík,10.00,04.11.2017 08:00,12
2017-10-26T06:02:03.024346,Trenčín – vyhraje J.Baška,1.01,04.11.2017 08:00,13
2017-10-26T06:02:03.024346,Trenčín – nevyhraje J.Baška,10.00,04.11.2017 08:00,14
2017-10-26T06:02:03.024346,Trnava – vyhraje T.Mikuš,1.35,04.11.2017 08:00,15
2017-10-26T06:02:03.024346,Trnava – nevyhraje T.Mikuš,2.80,04.11.2017 08:00,16
2017-10-26T06:02:03.024346,Žilina – vyhraje J.Blanár,1.65,04.11.2017 08:00,17
2017-10-26T06:02:03.024346,Žilina – nevyhraje J.Blanár,2.05,04.11.2017 08:00,18
2017-10-26T18:02:02.596207,B.Bystrica – vyhraje J.Lunter,1.25,04.11.2017 08:00,1
2017-10-26T18:02:02.596207,B.Bystrica –nevyhraje J.Lunter,3.40,04.11.2017 08:00,3
2017-10-26T18:02:02.596207,Bratislava – vyhraje M.Ftáčnik,1.65,04.11.2017 08:00,4
2017-10-26T18:02:02.596207,Bratislava–nevyhraje M.Ftáčnik,2.05,04.11.2017 08:00,5
2017-10-26T18:02:02.596207,Košice – vyhraje R.Raši,1.01,04.11.2017 08:00,6
2017-10-26T18:02:02.596207,Košice – nevyhraje R.Raši,10.00,04.11.2017 08:00,7
2017-10-26T18:02:02.596207,Nitra – vyhraje M.Belica,1.08,04.11.2017 08:00,8
2017-10-26T18:02:02.596207,Nitra – nevyhraje M.Belica,6.00,04.11.2017 08:00,9
2017-10-26T18:02:02.596207,Prešov – vyhraje P.Chudík,1.01,04.11.2017 08:00,11
2017-10-26T18:02:02.596207,Prešov – nevyhraje P.Chudík,10.00,04.11.2017 08:00,12
2017-10-26T18:02:02.596207,Trenčín – vyhraje J.Baška,1.01,04.11.2017 08:00,13
2017-10-26T18:02:02.596207,Trenčín – nevyhraje J.Baška,10.00,04.11.2017 08:00,14
2017-10-26T18:02:02.596207,Trnava – vyhraje T.Mikuš,1.35,04.11.2017 08:00,15
2017-10-26T18:02:02.596207,Trnava – nevyhraje T.Mikuš,2.80,04.11.2017 08:00,16
2017-10-26T18:02:02.596207,Žilina – vyhraje J.Blanár,1.65,04.11.2017 08:00,17
2017-10-26T18:02:02.596207,Žilina – nevyhraje J.Blanár,2.05,04.11.2017 08:00,18
