date,title,odds,date_bet,identifier
2017-06-13T10:03:02.054868,bude Lubomír Zaorálek,1.60,14.06.2017 06:00,1
2017-06-13T10:03:02.054868,bude Milan Chovanec,2.50,14.06.2017 06:00,3
2017-06-13T10:03:02.054868,bude Bohuslav Sobotka,10.00,14.06.2017 06:00,4
2017-06-13T10:03:02.054868,bude Jan Birke,30.00,14.06.2017 06:00,5
2017-06-13T10:03:02.054868,bude Milan Štěch,40.00,14.06.2017 06:00,6
2017-06-13T10:03:02.054868,bude Michaela Marksová,50.00,14.06.2017 06:00,7
2017-06-13T10:03:02.054868,bude Jeroným Tejc,60.00,14.06.2017 06:00,8
2017-06-13T10:03:02.054868,bude Petr Dolínek,70.00,14.06.2017 06:00,9
2017-06-13T10:03:02.054868,bude Jan Hamáček,80.00,14.06.2017 06:00,11
2017-06-13T10:03:02.054868,bude Kateřina Valachová,90.00,14.06.2017 06:00,12
2017-06-13T10:03:02.054868,bude Pavel Ploc,100.00,14.06.2017 06:00,13
2017-06-13T10:03:02.054868,bude Vítězslav Jandák,100.00,14.06.2017 06:00,14
2017-06-13T10:03:02.054868,bude Jiří Zimola,100.00,14.06.2017 06:00,15
2017-06-13T22:03:01.839848,bude Lubomír Zaorálek,1.60,14.06.2017 06:00,1
2017-06-13T22:03:01.839848,bude Milan Chovanec,2.50,14.06.2017 06:00,3
2017-06-13T22:03:01.839848,bude Bohuslav Sobotka,10.00,14.06.2017 06:00,4
2017-06-13T22:03:01.839848,bude Jan Birke,30.00,14.06.2017 06:00,5
2017-06-13T22:03:01.839848,bude Milan Štěch,40.00,14.06.2017 06:00,6
2017-06-13T22:03:01.839848,bude Michaela Marksová,50.00,14.06.2017 06:00,7
2017-06-13T22:03:01.839848,bude Jeroným Tejc,60.00,14.06.2017 06:00,8
2017-06-13T22:03:01.839848,bude Petr Dolínek,70.00,14.06.2017 06:00,9
2017-06-13T22:03:01.839848,bude Jan Hamáček,80.00,14.06.2017 06:00,11
2017-06-13T22:03:01.839848,bude Kateřina Valachová,90.00,14.06.2017 06:00,12
2017-06-13T22:03:01.839848,bude Pavel Ploc,100.00,14.06.2017 06:00,13
2017-06-13T22:03:01.839848,bude Vítězslav Jandák,100.00,14.06.2017 06:00,14
2017-06-13T22:03:01.839848,bude Jiří Zimola,80.00,14.06.2017 06:00,15
